time_s,lux_incident,lux_reflected,surface
0.0,945.63,281.57,Дерево
0.05,936.9,273.9,Дерево
0.1,940.58,265.01,Дерево
0.15,937.23,256.06,Дерево
0.2,937.39,272.69,Дерево
0.25,938.14,269.67,Дерево
0.3,941.33,276.99,Дерево
0.35,937.13,273.08,Дерево
0.4,947.53,281.33,Дерево
0.45,934.63,259.02,Дерево
0.5,938.88,282.74,Дерево
0.55,937.36,269.14,Дерево
0.6,948.68,295.06,Дерево
0.65,941.18,259.96,Дерево
0.7,946.19,290.61,Дерево
0.75,931.09,268.02,Дерево
0.8,941.6,260.82,Дерево
0.85,945.34,263.89,Дерево
0.9,940.49,264.45,Дерево
0.95,946.39,274.96,Дерево
1.0,936.9,273.36,Дерево
1.05,948.46,263.27,Дерево
1.1,953.79,271.15,Дерево
1.15,937.82,292.43,Дерево
1.2,937.33,287.03,Дерево
1.25,948.72,274.41,Дерево
1.3,949.48,269.5,Дерево
1.35,936.86,266.57,Дерево
1.4,937.48,272.27,Дерево
1.45,938.31,252.44,Дерево
1.5,931.93,259.4,Дерево
1.55,934.49,242.72,Дерево
1.6,933.98,266.93,Дерево
1.65,935.39,269.83,Дерево
1.7,939.79,257.03,Дерево
1.75,941.41,281.7,Дерево
1.8,949.3,249.85,Дерево
1.85,934.01,242.26,Дерево
1.9,945.91,265.42,Дерево
1.95,938.72,272.86,Дерево
2.0,939.7,280.39,Дерево
2.05,944.05,255.52,Дерево
2.1,933.26,270.61,Дерево
2.15,942.29,259.43,Дерево
2.2,941.0,257.19,Дерево
2.25,942.95,270.18,Дерево
2.3,941.74,266.86,Дерево
2.35,954.73,243.61,Дерево
2.4,936.17,274.94,Дерево
2.45,936.81,273.89,Дерево
2.5,936.26,249.65,Дерево
2.55,936.67,262.04,Дерево
2.6,936.18,263.15,Дерево
2.65,947.13,263.52,Дерево
2.7,948.52,254.33,Дерево
2.75,936.58,249.73,Дерево
2.8,935.01,257.27,Дерево
2.85,942.83,274.11,Дерево
2.9,936.69,265.15,Дерево
2.95,943.8,256.51,Дерево
3.0,941.22,269.86,Дерево
3.05,930.91,223.93,Дерево
3.1,949.29,277.46,Дерево
3.15,950.78,243.65,Дерево
3.2,936.32,256.58,Дерево
3.25,937.67,248.33,Дерево
3.3,941.72,247.83,Дерево
3.35,942.01,277.85,Дерево
3.4,943.95,259.32,Дерево
3.45,952.06,271.83,Дерево
3.5,938.94,263.88,Дерево
3.55,935.21,269.57,Дерево
3.6,931.72,264.21,Дерево
3.65,935.61,249.39,Дерево
3.7,939.8,278.29,Дерево
3.75,950.77,263.83,Дерево
3.8,936.89,247.5,Дерево
3.85,941.34,262.57,Дерево
3.9,939.9,285.56,Дерево
3.95,947.13,279.99,Дерево
4.0,955.16,268.02,Дерево
4.05,936.81,263.0,Дерево
4.1,937.06,263.48,Дерево
4.15,946.26,294.87,Дерево
4.2,944.09,273.92,Дерево
4.25,951.08,276.4,Дерево
4.3,943.5,281.39,Дерево
4.35,937.84,270.17,Дерево
4.4,943.54,265.61,Дерево
4.45,946.65,267.01,Дерево
4.5,944.92,267.76,Дерево
4.55,943.04,267.36,Дерево
4.6,946.4,277.15,Дерево
4.65,947.02,268.85,Дерево
4.7,948.29,276.99,Дерево
4.75,943.89,265.59,Дерево
4.8,939.0,265.7,Дерево
4.85,940.88,240.86,Дерево
4.9,947.24,277.16,Дерево
4.95,935.1,266.46,Дерево
5.0,942.21,275.8,Дерево
5.05,937.64,227.31,Дерево
5.1,940.17,287.37,Дерево
5.15,947.67,262.28,Дерево
5.2,941.15,274.98,Дерево
5.25,940.28,248.53,Дерево
5.3,931.84,265.59,Дерево
5.35,944.48,248.75,Дерево
5.4,943.87,253.38,Дерево
5.45,952.98,286.05,Дерево
5.5,938.15,256.35,Дерево
5.55,941.31,261.87,Дерево
5.6,941.5,269.54,Дерево
5.65,949.46,267.09,Дерево
5.7,939.43,260.0,Дерево
5.75,941.67,263.11,Дерево
5.8,943.65,288.07,Дерево
5.85,941.12,257.82,Дерево
5.9,937.32,259.9,Дерево
5.95,941.16,271.25,Дерево
6.0,946.44,273.51,Дерево
6.05,933.84,271.13,Дерево
6.1,940.8,266.71,Дерево
6.15,935.8,244.17,Дерево
6.2,947.17,280.96,Дерево
6.25,930.86,243.35,Дерево
6.3,936.65,262.71,Дерево
6.35,942.26,251.97,Дерево
6.4,949.39,262.65,Дерево
6.45,939.61,265.05,Дерево
6.5,936.67,264.58,Дерево
6.55,951.29,270.33,Дерево
6.6,931.31,279.51,Дерево
6.65,926.81,264.79,Дерево
6.7,942.64,261.32,Дерево
6.75,936.99,274.71,Дерево
6.8,933.87,277.0,Дерево
6.85,944.25,251.35,Дерево
6.9,941.46,272.91,Дерево
6.95,936.62,273.21,Дерево
7.0,932.32,260.42,Дерево
7.05,945.23,284.48,Дерево
7.1,943.9,266.14,Дерево
7.15,939.4,268.49,Дерево
7.2,951.08,268.45,Дерево
7.25,933.58,266.04,Дерево
7.3,930.85,252.13,Дерево
7.35,935.85,249.56,Дерево
7.4,939.73,287.17,Дерево
7.45,941.46,258.42,Дерево
7.5,938.55,255.9,Дерево
7.55,942.11,242.93,Дерево
7.6,932.49,258.34,Дерево
7.65,948.66,254.55,Дерево
7.7,939.51,287.42,Дерево
7.75,946.7,281.65,Дерево
7.8,942.06,259.74,Дерево
7.85,942.74,294.95,Дерево
7.9,943.42,279.58,Дерево
7.95,942.69,263.36,Дерево
8.0,943.86,237.23,Дерево
8.05,947.97,295.47,Дерево
8.1,941.18,248.98,Дерево
8.15,944.25,246.34,Дерево
8.2,939.46,276.56,Дерево
8.25,948.64,295.68,Дерево
8.3,935.94,278.99,Дерево
8.35,950.81,272.84,Дерево
8.4,939.76,269.64,Дерево
8.45,931.42,269.95,Дерево
8.5,940.77,270.98,Дерево
8.55,935.91,263.44,Дерево
8.6,945.04,263.45,Дерево
8.65,936.08,258.54,Дерево
8.7,937.32,250.22,Дерево
8.75,928.66,253.12,Дерево
8.8,937.29,238.27,Дерево
8.85,925.46,253.81,Дерево
8.9,930.5,244.29,Дерево
8.95,944.56,246.65,Дерево
9.0,944.71,261.92,Дерево
9.05,942.55,275.74,Дерево
9.1,934.2,267.63,Дерево
9.15,939.71,239.28,Дерево
9.2,939.98,246.33,Дерево
9.25,933.05,267.6,Дерево
9.3,949.02,249.09,Дерево
9.35,945.26,257.27,Дерево
9.4,938.67,264.91,Дерево
9.45,940.16,247.32,Дерево
9.5,941.25,260.77,Дерево
9.55,927.75,240.01,Дерево
9.6,938.52,252.15,Дерево
9.65,935.91,262.83,Дерево
9.7,933.99,239.72,Дерево
9.75,938.31,265.74,Дерево
