time_s,lux_incident,lux_reflected,surface
0.0,951.49,687.22,Метал
0.05,949.59,687.3,Метал
0.1,951.94,692.37,Метал
0.15,954.57,694.31,Метал
0.2,949.3,676.15,Метал
0.25,949.3,679.0,Метал
0.3,954.74,691.84,Метал
0.35,952.3,690.27,Метал
0.4,948.59,687.79,Метал
0.45,951.63,710.16,Метал
0.5,948.61,688.45,Метал
0.55,948.6,691.96,Метал
0.6,950.73,692.51,Метал
0.65,944.26,686.13,Метал
0.7,944.83,680.8,Метал
0.75,948.31,689.81,Метал
0.8,946.96,679.67,Метал
0.85,950.94,685.76,Метал
0.9,947.28,681.61,Метал
0.95,945.76,683.88,Метал
1.0,954.4,703.43,Метал
1.05,949.32,674.6,Метал
1.1,950.2,690.45,Метал
1.15,945.73,673.31,Метал
1.2,948.37,681.92,Метал
1.25,950.33,692.54,Метал
1.3,946.55,683.49,Метал
1.35,951.13,679.75,Метал
1.4,948.2,679.62,Метал
1.45,949.12,688.44,Метал
1.5,948.19,679.09,Метал
1.55,955.56,689.85,Метал
1.6,949.96,684.56,Метал
1.65,946.83,677.88,Метал
1.7,952.47,698.48,Метал
1.75,946.34,684.78,Метал
1.8,950.63,671.68,Метал
1.85,944.12,680.04,Метал
1.9,946.02,676.1,Метал
1.95,950.59,688.27,Метал
2.0,952.22,679.37,Метал
2.05,950.51,682.03,Метал
2.1,949.65,684.96,Метал
2.15,949.1,686.57,Метал
2.2,945.56,671.49,Метал
2.25,947.84,678.21,Метал
2.3,948.62,677.83,Метал
2.35,953.17,679.96,Метал
2.4,951.03,692.88,Метал
2.45,944.71,680.13,Метал
2.5,950.97,674.63,Метал
2.55,948.84,686.19,Метал
2.6,947.97,692.82,Метал
2.65,951.84,689.12,Метал
2.7,953.09,674.79,Метал
2.75,952.79,680.88,Метал
2.8,947.48,687.68,Метал
2.85,949.07,677.11,Метал
2.9,950.99,685.56,Метал
2.95,952.93,689.1,Метал
3.0,948.56,675.93,Метал
3.05,949.44,681.97,Метал
3.1,946.68,661.1,Метал
3.15,946.41,674.42,Метал
3.2,952.44,683.62,Метал
3.25,954.07,679.05,Метал
3.3,949.78,693.48,Метал
3.35,953.01,677.67,Метал
3.4,951.08,682.45,Метал
3.45,948.06,683.94,Метал
3.5,951.08,694.2,Метал
3.55,954.61,679.7,Метал
3.6,949.89,692.11,Метал
3.65,954.69,688.85,Метал
3.7,942.14,674.05,Метал
3.75,952.47,690.32,Метал
3.8,950.26,687.31,Метал
3.85,949.1,681.82,Метал
3.9,950.28,686.81,Метал
3.95,944.04,679.69,Метал
4.0,949.34,686.58,Метал
4.05,951.07,691.18,Метал
4.1,954.43,699.19,Метал
4.15,948.45,677.95,Метал
4.2,947.57,697.55,Метал
4.25,948.49,673.67,Метал
4.3,952.75,687.49,Метал
4.35,950.99,690.59,Метал
4.4,948.41,686.8,Метал
4.45,951.54,683.52,Метал
4.5,950.29,684.98,Метал
4.55,952.91,685.01,Метал
4.6,947.89,680.66,Метал
4.65,949.02,689.92,Метал
4.7,948.82,686.63,Метал
4.75,945.61,677.82,Метал
4.8,950.89,690.96,Метал
4.85,950.78,687.11,Метал
4.9,950.02,689.36,Метал
4.95,949.3,687.51,Метал
5.0,945.75,675.97,Метал
5.05,948.74,679.5,Метал
5.1,948.97,687.28,Метал
5.15,947.59,685.23,Метал
5.2,949.52,682.61,Метал
5.25,951.21,684.44,Метал
5.3,955.66,694.4,Метал
5.35,950.52,679.3,Метал
5.4,950.77,686.13,Метал
5.45,949.78,680.75,Метал
5.5,944.24,676.53,Метал
5.55,949.92,688.38,Метал
5.6,950.18,686.82,Метал
5.65,957.39,691.85,Метал
5.7,949.42,689.0,Метал
5.75,950.9,682.31,Метал
5.8,949.9,685.52,Метал
5.85,946.49,677.12,Метал
5.9,953.43,685.93,Метал
5.95,952.26,682.4,Метал
6.0,952.37,683.91,Метал
6.05,947.27,683.31,Метал
6.1,954.21,679.93,Метал
6.15,945.79,691.46,Метал
6.2,951.76,677.31,Метал
6.25,956.57,679.68,Метал
6.3,947.03,687.22,Метал
6.35,948.3,686.12,Метал
6.4,950.3,686.76,Метал
6.45,948.49,685.69,Метал
6.5,945.35,679.8,Метал
6.55,950.21,678.22,Метал
6.6,946.81,681.85,Метал
