time_s,lux_incident,lux_reflected,surface
0.0,930.63,380.39,Стіна
0.05,927.85,395.49,Стіна
0.1,930.61,403.56,Стіна
0.15,932.72,400.19,Стіна
0.2,930.24,402.32,Стіна
0.25,930.2,385.16,Стіна
0.3,926.49,377.32,Стіна
0.35,926.69,406.98,Стіна
0.4,922.99,387.51,Стіна
0.45,938.75,395.14,Стіна
0.5,923.78,404.91,Стіна
0.55,926.54,398.58,Стіна
0.6,926.41,397.72,Стіна
0.65,934.47,418.36,Стіна
0.7,928.53,387.9,Стіна
0.75,936.24,406.94,Стіна
0.8,926.63,394.25,Стіна
0.85,931.39,398.37,Стіна
0.9,925.82,408.59,Стіна
0.95,940.73,404.57,Стіна
1.0,924.06,397.77,Стіна
1.05,931.55,406.11,Стіна
1.1,933.17,392.22,Стіна
1.15,932.07,386.8,Стіна
1.2,929.07,383.23,Стіна
1.25,929.35,373.85,Стіна
1.3,930.22,414.12,Стіна
1.35,929.26,381.79,Стіна
1.4,934.82,392.58,Стіна
1.45,941.05,394.26,Стіна
1.5,927.21,393.89,Стіна
1.55,923.15,396.86,Стіна
1.6,929.56,399.58,Стіна
1.65,942.9,390.33,Стіна
1.7,925.98,386.96,Стіна
1.75,938.2,396.16,Стіна
1.8,938.39,390.52,Стіна
1.85,927.23,403.99,Стіна
1.9,932.84,394.79,Стіна
1.95,938.14,399.08,Стіна
2.0,928.1,393.79,Стіна
2.05,928.98,398.93,Стіна
2.1,927.09,387.91,Стіна
2.15,924.93,371.94,Стіна
2.2,926.75,389.43,Стіна
2.25,923.88,377.51,Стіна
2.3,930.17,381.2,Стіна
2.35,926.15,390.53,Стіна
2.4,931.17,399.05,Стіна
2.45,922.22,383.07,Стіна
2.5,931.65,389.88,Стіна
2.55,934.17,404.89,Стіна
2.6,920.03,384.4,Стіна
2.65,931.87,413.08,Стіна
2.7,936.14,394.65,Стіна
2.75,923.95,366.44,Стіна
2.8,938.36,397.85,Стіна
2.85,932.1,391.74,Стіна
2.9,926.47,398.74,Стіна
2.95,929.72,394.24,Стіна
3.0,932.79,387.74,Стіна
3.05,930.38,376.23,Стіна
3.1,932.69,387.73,Стіна
3.15,925.4,378.64,Стіна
3.2,930.85,384.03,Стіна
3.25,922.93,392.81,Стіна
3.3,929.44,406.78,Стіна
3.35,925.48,392.79,Стіна
3.4,926.32,377.66,Стіна
3.45,936.18,398.62,Стіна
3.5,935.46,406.25,Стіна
3.55,933.05,387.57,Стіна
3.6,924.54,389.13,Стіна
3.65,928.42,392.61,Стіна
3.7,936.07,388.17,Стіна
3.75,930.71,400.56,Стіна
3.8,941.6,397.73,Стіна
3.85,931.97,399.34,Стіна
3.9,930.96,386.07,Стіна
3.95,928.45,389.71,Стіна
4.0,930.67,402.38,Стіна
4.05,929.24,390.94,Стіна
4.1,933.54,413.82,Стіна
4.15,934.78,393.11,Стіна
4.2,926.07,395.69,Стіна
4.25,923.34,401.57,Стіна
4.3,920.82,376.92,Стіна
4.35,932.54,378.29,Стіна
4.4,924.48,377.1,Стіна
4.45,919.24,402.58,Стіна
4.5,931.94,389.54,Стіна
4.55,942.46,424.79,Стіна
4.6,929.97,388.03,Стіна
4.65,934.19,396.96,Стіна
4.7,930.41,408.6,Стіна
4.75,929.51,412.5,Стіна
4.8,934.6,414.8,Стіна
4.85,928.55,403.33,Стіна
4.9,931.34,402.25,Стіна
4.95,931.61,397.62,Стіна
5.0,926.66,396.98,Стіна
5.05,934.96,386.75,Стіна
5.1,929.13,381.21,Стіна
5.15,926.22,387.72,Стіна
5.2,932.68,388.37,Стіна
5.25,925.51,382.14,Стіна
5.3,930.14,395.21,Стіна
5.35,929.95,397.38,Стіна
5.4,935.43,390.68,Стіна
5.45,932.37,403.0,Стіна
5.5,929.87,375.49,Стіна
5.55,934.09,386.51,Стіна
5.6,936.95,382.28,Стіна
5.65,932.79,368.87,Стіна
5.7,930.05,385.44,Стіна
5.75,923.44,382.18,Стіна
5.8,924.67,399.01,Стіна
5.85,928.47,391.77,Стіна
5.9,926.95,374.61,Стіна
5.95,929.07,404.36,Стіна
6.0,930.28,398.65,Стіна
6.05,932.65,393.4,Стіна
6.1,929.65,384.24,Стіна
6.15,932.43,378.31,Стіна
6.2,930.32,383.55,Стіна
6.25,920.12,394.16,Стіна
6.3,925.3,404.6,Стіна
6.35,929.28,403.2,Стіна
6.4,923.95,381.0,Стіна
6.45,933.0,378.88,Стіна
6.5,937.65,393.83,Стіна
6.55,936.09,374.49,Стіна
6.6,928.93,392.82,Стіна
6.65,937.45,392.11,Стіна
6.7,930.74,386.53,Стіна
6.75,928.31,374.65,Стіна
6.8,926.93,395.57,Стіна
6.85,928.49,386.16,Стіна
6.9,928.06,380.0,Стіна
6.95,930.85,364.53,Стіна
7.0,930.8,393.31,Стіна
7.05,930.02,411.3,Стіна
7.1,932.18,411.41,Стіна
7.15,935.95,392.09,Стіна
7.2,934.75,390.37,Стіна
7.25,922.58,396.18,Стіна
7.3,917.23,379.44,Стіна
7.35,934.67,399.9,Стіна
7.4,923.17,399.81,Стіна
7.45,928.88,406.88,Стіна
7.5,924.15,391.64,Стіна
7.55,920.99,389.26,Стіна
7.6,932.71,387.38,Стіна
7.65,933.8,388.25,Стіна
7.7,927.12,391.31,Стіна
7.75,917.04,392.84,Стіна
7.8,927.27,402.39,Стіна
7.85,931.96,386.95,Стіна
7.9,922.61,405.7,Стіна
7.95,930.92,391.25,Стіна
8.0,929.92,393.0,Стіна
8.05,932.9,386.64,Стіна
8.1,930.6,368.52,Стіна
8.15,925.13,398.92,Стіна
8.2,935.98,401.6,Стіна
8.25,929.21,388.16,Стіна
8.3,929.86,391.5,Стіна
8.35,925.33,393.66,Стіна
8.4,927.78,373.48,Стіна
8.45,925.58,382.47,Стіна
8.5,929.14,396.79,Стіна
8.55,938.56,379.86,Стіна
8.6,923.14,388.49,Стіна
8.65,921.93,371.12,Стіна
8.7,937.36,395.49,Стіна
8.75,928.95,386.62,Стіна
8.8,926.65,369.58,Стіна
8.85,935.2,400.71,Стіна
8.9,926.97,378.04,Стіна
8.95,939.13,382.2,Стіна
9.0,933.39,389.75,Стіна
9.05,927.56,396.67,Стіна
9.1,940.79,380.51,Стіна
9.15,926.97,385.45,Стіна
9.2,933.71,391.96,Стіна
9.25,931.5,393.71,Стіна
9.3,936.51,390.74,Стіна
9.35,937.81,385.97,Стіна
9.4,930.16,378.32,Стіна
9.45,926.23,386.01,Стіна
9.5,932.3,377.2,Стіна
9.55,926.61,356.59,Стіна
9.6,940.07,396.11,Стіна
9.65,930.68,397.17,Стіна
9.7,928.17,363.79,Стіна
9.75,930.92,378.85,Стіна
9.8,923.26,392.31,Стіна
9.85,925.14,407.88,Стіна
9.9,936.0,392.49,Стіна
9.95,926.72,381.52,Стіна
